id	pop
P_con_34095	con
P_con_34096	con
P_con_34097	con
P_con_34098	con
P_con_34099	con
P_con_34100	con
P_con_34101b	con
P_con_34102	con
P_con_34110	con
P_con_34528b	con
P_con_36899	con
P_con_36900b	con
P_con_36901	con
P_con_36902	con
P_con_36903	con
P_con_38224b	con
P_con_38225	con
P_con_38226	con
P_con_38229b	con
P_con_38230	con
P_con_39646a	con
P_con_40393	con
P_con_40394	con
P_con_40395a	con
P_con_40397	con
P_con_40398	con
P_con_40399	con
P_con_40400	con
P_con_40402	con
P_con_40404	con
P_con_40405	con
P_con_40406	con
P_con_40407	con
P_con_40408	con
P_con_41230a	con
P_con_41231	con
P_con_41233	con
P_ili_20392	ili
P_ili_27545b	ili
P_ili_27546	ili
P_ili_30343	ili
P_ili_34092	ili
P_ili_34093	ili
P_ili_34094b	ili
P_ili_37204	ili
P_ili_37207	ili
P_ili_37208b	ili
P_ili_37209	ili
P_ili_37210	ili
P_ili_38815	ili
P_ili_41097	ili
P_ili_41098	ili
P_ili_42685	ili
P_ili_42686	ili
P_ili_42840	ili
P_una_30340	una
P_una_31497	una
P_una_38937	una
P_una_40396	una
P_una_44466	una
